"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1219","test_login","tests","2026-04-01","passed","2026-04-01","","test_login","",""
"","1589","test_register","tests","2026-04-01","passed","2026-04-01","","test_register","",""
"","419","test_product_visible_api_ui","tests_hybrid","2026-04-01","passed","2026-04-01","","test_ui_api_flow","",""
"","9787","test_purchase_flow","tests","2026-04-01","passed","2026-04-01","","test_purchase_flow","",""
"","39","test_login_success","api_tests","2026-04-01","passed","2026-04-01","","test_login_api","",""
"","45","test_get_products","api_tests","2026-04-01","passed","2026-04-01","","test_user_api","",""
